"lfdn";"external_lfdn";"tester";"dispcode";"lastpage";"quality";"duration";"c_0001";"Studienteilnahme";"Trust_Car_1";"Trust_Car_2";"Trust_Car_3";"car_check";"Manip_Check_1";"Manip_Check_2";"Manip_Check_3";"car_comp1";"car_comp2";"car_comp3";"car_comp4";"car_comp5";"car_consc1";"car_consc2";"car_consc3";"car_consc4";"car_consc5";"car_consc6";"driv_comp1";"driv_comp2";"driv_comp3";"driv_comp4";"driv_comp5";"driv_consc1";"driv_consc2";"driv_consc3";"driv_consc4";"Resp_Bic";"Resp_Car";"Resp_Driver";"Resp_Producer";"Sex";"Age";"Car_Owner";"km_year";"Education";"Occupation";"Occupation_Sonst";"Income";"Quality_1";"Quality_2";"Quality_3";"Quality_4";"Quality_5";"Quality_6";"ext_host";"ip_addr";"browser";"referer";"device_type";"participant_browser";"participant_browser_version";"participant_os";"participant_device";"participant_brand";"participant_model";"participant_isbot";"participant_continent";"participant_country";"participant_region";"participant_city";"participant_latitude";"participant_longitude";"quota";"quota_assignment";"page_history";"hflip";"vflip";"output_mode";"javascript";"flash";"session_id";"language";"cleaned";"ats";"datetime";"date_of_last_access";"date_of_first_mail"
"62";"0";"0";"31";"3878440";"-77";"472";"3";"1";"1";"2";"1";"5";"4";"2";"4";"4";"3";"3";"4";"5";"4";"4";"4";"3";"3";"3";"6";"5";"6";"6";"6";"4";"4";"3";"4";"1";"7";"7";"6";"2";"35";"1";"5000";"4";"7";"-99";"1";"7";"1";"7";"6";"1";"7";"-99";"-99";"Mozilla/5.0 (Linux; Android 8.0.0; SAMSUNG SM-A520F) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/10.1 Chrome/71.0.3578.99 Mobile Safari/537.36";"-99";"0";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-66";"3878430,3878432,3878435,3878436,3878437,3878438,3878439,3878440";"1";"0";"0";"-77";"-77";"b52a886ef5b1512fef773a941ee36571";"1";"0";"1571677182";"2019-10-21 16:59:42";"2019-10-21 17:07:34";"0000-00-00 00:00:00"
"64";"0";"0";"31";"3878440";"-77";"595";"5";"1";"3";"4";"3";"4";"6";"3";"1";"7";"5";"4";"4";"4";"2";"2";"2";"1";"1";"1";"7";"7";"7";"7";"7";"7";"7";"7";"7";"2";"5";"5";"5";"1";"38";"1";"10000";"5";"2";"-99";"3";"4";"4";"4";"4";"1";"4";"-99";"-99";"Mozilla/5.0 (Linux; Android 4.4.4; de-de; SAMSUNG GT-I9195I Build/KTU84P) AppleWebKit/537.36 (KHTML, like Gecko) Version/2.0 Chrome/34.0.1847.76 Mobile Safari/537.36";"-99";"0";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-66";"3878430,3878432,3878435,3878436,3878437,3878438,3878438,3878438,3878439,3878440";"1";"0";"0";"-77";"-77";"4da1153ca38c92b89a31adb0a5b67018";"1";"0";"1571677331";"2019-10-21 17:02:11";"2019-10-21 17:12:06";"0000-00-00 00:00:00"
"65";"0";"0";"32";"3878440";"-77";"-1";"1";"1";"3";"3";"5";"10";"3";"5";"1";"7";"5";"7";"7";"4";"1";"6";"7";"7";"5";"6";"6";"7";"7";"5";"6";"5";"7";"7";"7";"1";"7";"2";"7";"1";"56";"1";"150009";"3";"5";"-99";"3";"7";"1";"7";"7";"1";"7";"-99";"-99";"Mozilla/5.0 (Linux; Android 9; SAMSUNG SM-G950F) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/10.1 Chrome/71.0.3578.99 Mobile Safari/537.36";"-99";"0";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-66";"3878430,3878432,3878435,3878436,3878437,3878438,3878439,3878439,3878440";"1";"1";"0";"-77";"-77";"c94cbb1139f09c8fcf0d1a460be5e9f6";"1";"0";"1571677470";"2019-10-21 17:04:30";"2019-10-21 18:05:22";"0000-00-00 00:00:00"
"67";"0";"0";"31";"3878440";"-77";"480";"6";"1";"3";"3";"2";"3";"2";"6";"4";"6";"3";"3";"4";"4";"3";"3";"3";"4";"3";"3";"5";"5";"5";"5";"5";"7";"7";"7";"7";"2";"6";"4";"6";"1";"26";"1";"60000";"5";"2";"-99";"3";"2";"2";"7";"7";"1";"7";"-99";"-99";"Mozilla/5.0 (iPhone; CPU iPhone OS 13_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.1 Mobile/15E148 Safari/604.1";"-99";"0";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-66";"3878430,3878432,3878435,3878436,3878437,3878438,3878439,3878439,3878439,3878440";"0";"0";"0";"-77";"-77";"870d4fb51008f54b9c590bba7bfb49a4";"1";"0";"1571677820";"2019-10-21 17:10:20";"2019-10-21 17:18:20";"0000-00-00 00:00:00"
"70";"0";"0";"31";"3878440";"-77";"654";"3";"1";"5";"5";"4";"9";"2";"5";"6";"6";"6";"6";"6";"6";"4";"3";"3";"4";"4";"3";"5";"4";"5";"6";"6";"3";"2";"2";"4";"2";"3";"6";"5";"2";"24";"2";"300";"5";"7";"-99";"1";"5";"2";"7";"7";"1";"6";"-99";"-99";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.120 Safari/537.36";"-99";"0";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-66";"3878430,3878432,3878435,3878436,3878437,3878438,3878439,3878440";"0";"0";"0";"-77";"-77";"0edc7559f840bbe586c423b711f622f3";"1";"0";"1571678105";"2019-10-21 17:15:05";"2019-10-21 17:25:59";"0000-00-00 00:00:00"
"76";"0";"0";"31";"3878440";"-77";"412";"3";"1";"2";"4";"2";"8";"1";"6";"4";"5";"4";"5";"2";"3";"5";"5";"6";"4";"1";"2";"5";"5";"4";"4";"4";"2";"2";"3";"3";"2";"2";"7";"3";"2";"31";"1";"60000";"5";"7";"-99";"5";"7";"1";"7";"7";"1";"7";"-99";"-99";"Mozilla/5.0 (iPhone; CPU iPhone OS 12_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.2 Mobile/15E148 Safari/604.1";"-99";"0";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-66";"3878430,3878432,3878435,3878436,3878437,3878438,3878439,3878440";"0";"1";"0";"-77";"-77";"89209f59c284963e0f51d00f33516010";"1";"0";"1571678371";"2019-10-21 17:19:31";"2019-10-21 17:26:23";"0000-00-00 00:00:00"
"77";"0";"0";"32";"3878440";"-77";"-1";"2";"1";"4";"4";"6";"8";"1";"1";"1";"6";"5";"4";"4";"5";"5";"3";"3";"4";"4";"4";"1";"1";"1";"1";"1";"4";"4";"4";"4";"1";"1";"1";"1";"2";"50";"1";"15000";"3";"2";"-99";"2";"1";"7";"1";"7";"1";"7";"-99";"-99";"Mozilla/5.0 (iPhone; CPU iPhone OS 12_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.2 Mobile/15E148 Safari/604.1";"-99";"0";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-66";"3878430,3878432,3878435,3878436,3878437,3878438,3878439,3878440";"0";"1";"0";"-77";"-77";"46595004dc4244d95f83bc6a06f3c36e";"1";"0";"1571679327";"2019-10-21 17:35:27";"2019-10-21 18:23:28";"0000-00-00 00:00:00"
"79";"0";"0";"31";"3878440";"-77";"471";"2";"1";"1";"1";"1";"6";"6";"4";"1";"4";"3";"3";"3";"2";"6";"6";"6";"6";"7";"6";"3";"3";"2";"2";"3";"6";"7";"6";"6";"1";"3";"4";"1";"1";"27";"1";"15000";"5";"7";"-99";"2";"6";"1";"7";"7";"1";"7";"-99";"-99";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.120 Safari/537.36";"-99";"0";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-66";"3878430,3878432,3878435,3878436,3878437,3878438,3878439,3878440";"1";"1";"0";"-77";"-77";"e85312c808c6a25d5c909e3cf1dbf8b3";"1";"0";"1571683202";"2019-10-21 18:40:02";"2019-10-21 18:47:53";"0000-00-00 00:00:00"
"80";"0";"0";"31";"3878440";"-77";"566";"1";"1";"3";"2";"5";"7";"5";"6";"2";"6";"6";"6";"6";"6";"4";"6";"2";"6";"2";"2";"7";"7";"7";"7";"7";"5";"5";"4";"4";"4";"4";"4";"4";"1";"26";"2";"100";"5";"7";"-99";"2";"7";"1";"7";"6";"1";"6";"-99";"-99";"Mozilla/5.0 (iPhone; CPU iPhone OS 12_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.2 Mobile/15E148 Safari/604.1";"-99";"0";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-66";"3878430,3878432,3878435,3878436,3878436,3878437,3878438,3878439,3878440";"0";"1";"0";"-77";"-77";"d1307d1619d0dc91c135d45da4366295";"1";"0";"1571683684";"2019-10-21 18:48:04";"2019-10-21 18:57:30";"0000-00-00 00:00:00"
"89";"0";"0";"31";"3878440";"-77";"1196";"3";"1";"5";"1";"1";"9";"1";"5";"6";"7";"7";"7";"7";"7";"7";"7";"7";"7";"4";"7";"5";"5";"5";"5";"5";"4";"4";"4";"4";"2";"4";"7";"4";"1";"41";"1";"35000";"5";"7";"-99";"5";"6";"3";"7";"7";"1";"7";"-99";"-99";"Mozilla/5.0 (iPhone; CPU iPhone OS 12_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.2 Mobile/15E148 Safari/604.1";"-99";"0";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-66";"3878430,3878432,3878435,3878436,3878437,3878438,3878439,3878440";"0";"1";"0";"-77";"-77";"fc062b95f76d013f5fcaae0213ff19e9";"1";"0";"1571690102";"2019-10-21 20:35:02";"2019-10-21 20:54:58";"0000-00-00 00:00:00"
"91";"0";"0";"31";"3878440";"-77";"213";"5";"1";"3";"6";"5";"6";"6";"3";"4";"2";"6";"5";"3";"6";"3";"6";"7";"7";"6";"5";"5";"5";"4";"2";"7";"3";"5";"6";"5";"6";"6";"4";"3";"1";"26";"2";"25000";"5";"7";"-99";"4";"7";"1";"7";"7";"1";"7";"-99";"-99";"Mozilla/5.0 (iPhone; CPU iPhone OS 13_1_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.1 Mobile/15E148 Safari/604.1";"-99";"0";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-66";"3878430,3878432,3878435,3878436,3878437,3878438,3878439,3878440";"1";"0";"0";"-77";"-77";"0e4f3efbd705f2847be8d17019f53b62";"1";"0";"1571714677";"2019-10-22 03:24:37";"2019-10-22 03:28:10";"0000-00-00 00:00:00"
"92";"0";"0";"31";"3878440";"-77";"1046";"4";"1";"1";"3";"2";"11";"1";"5";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"4";"4";"4";"4";"4";"4";"4";"4";"4";"2";"6";"7";"5";"2";"23";"2";"30000";"3";"2";"-99";"2";"7";"1";"7";"7";"1";"7";"-99";"-99";"Mozilla/5.0 (Linux; Android 8.0.0; RNE-L21) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/10.1 Chrome/71.0.3578.99 Mobile Safari/537.36";"-99";"0";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-66";"3878430,3878432,3878435,3878436,3878437,3878438,3878438,3878439,3878440";"1";"1";"0";"-77";"-77";"4086cc46dfb60f71b5ef83833a5c494e";"1";"0";"1571722065";"2019-10-22 05:27:45";"2019-10-22 05:45:11";"0000-00-00 00:00:00"
"95";"0";"0";"31";"3878440";"-77";"460";"6";"1";"5";"6";"6";"10";"1";"5";"6";"7";"7";"7";"7";"7";"7";"7";"7";"7";"6";"6";"4";"6";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"2";"55";"1";"9000";"5";"5";"-99";"3";"7";"1";"7";"7";"1";"7";"-99";"-99";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.86 Safari/537.36";"-99";"0";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-66";"3878430,3878432,3878435,3878436,3878437,3878438,3878439,3878440";"0";"0";"0";"-77";"-77";"b0c4ce98607770ca4d795750fd88cff6";"1";"0";"1571728042";"2019-10-22 07:07:22";"2019-10-22 07:15:02";"0000-00-00 00:00:00"
"104";"0";"0";"31";"3878440";"-77";"657";"3";"1";"1";"1";"3";"2";"2";"4";"2";"2";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"3";"3";"2";"4";"4";"3";"3";"3";"3";"1";"3";"5";"3";"1";"55";"1";"15000";"3";"3";"-99";"3";"2";"1";"6";"7";"1";"6";"-99";"-99";"Mozilla/5.0 (Android 9; Mobile; rv:68.0) Gecko/68.0 Firefox/68.0";"-99";"0";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-66";"3878430,3878432,3878435,3878436,3878436,3878437,3878438,3878439,3878440";"1";"1";"0";"-77";"-77";"d26839371f5423daaedf9a16275f1ed3";"1";"0";"1571740150";"2019-10-22 10:29:10";"2019-10-22 10:40:07";"0000-00-00 00:00:00"
"105";"0";"0";"31";"3878440";"-77";"423";"1";"1";"2";"6";"6";"9";"1";"6";"4";"7";"7";"7";"7";"7";"6";"6";"5";"5";"5";"5";"2";"3";"2";"2";"2";"5";"5";"5";"5";"1";"7";"7";"7";"2";"26";"2";"6000";"5";"7";"-99";"1";"7";"5";"7";"7";"1";"7";"-99";"-99";"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/11.1.2 Safari/605.1.15";"-99";"0";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-66";"3878430,3878432,3878435,3878436,3878437,3878438,3878439,3878440";"1";"1";"0";"-77";"-77";"a6da40558e1f199359a14d758d384fa7";"1";"0";"1571749343";"2019-10-22 13:02:23";"2019-10-22 13:09:26";"0000-00-00 00:00:00"
"106";"0";"0";"31";"3878440";"-77";"505";"6";"1";"5";"5";"3";"10";"2";"6";"5";"5";"5";"6";"6";"6";"4";"4";"5";"6";"4";"4";"5";"4";"4";"4";"4";"3";"3";"3";"5";"1";"6";"2";"6";"1";"30";"2";"5000";"5";"7";"-99";"3";"6";"3";"6";"6";"1";"7";"-99";"-99";"Mozilla/5.0 (Linux; Android 6.0.1; D6603) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.116 Mobile Safari/537.36";"-99";"0";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-66";"3878430,3878432,3878435,3878436,3878437,3878438,3878439,3878440";"0";"1";"0";"-77";"-77";"551d4f373e5372d11f84db01dee59305";"1";"0";"1571758744";"2019-10-22 15:39:04";"2019-10-22 15:47:29";"0000-00-00 00:00:00"
"112";"0";"0";"31";"3878440";"-77";"783";"6";"1";"2";"2";"4";"10";"1";"5";"6";"6";"6";"6";"6";"7";"6";"5";"4";"6";"1";"1";"5";"5";"4";"4";"3";"2";"2";"2";"5";"2";"5";"2";"6";"1";"26";"1";"10000";"5";"7";"-99";"1";"7";"1";"7";"7";"1";"7";"-99";"-99";"Mozilla/5.0 (iPhone; CPU iPhone OS 13_1_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.1 Mobile/15E148 Safari/604.1";"-99";"0";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-66";"3878430,3878432,3878435,3878436,3878437,3878438,3878439,3878440";"0";"1";"0";"-77";"-77";"740af82c8f27a732c56da6c8d0668e79";"1";"0";"1571821720";"2019-10-23 09:08:40";"2019-10-23 09:21:43";"0000-00-00 00:00:00"
"116";"0";"0";"31";"3878440";"-77";"328";"2";"1";"4";"5";"4";"8";"6";"5";"1";"5";"5";"5";"5";"5";"4";"4";"4";"4";"4";"4";"5";"5";"5";"5";"5";"5";"5";"5";"5";"1";"7";"4";"7";"2";"24";"1";"10000";"5";"7";"-99";"1";"1";"1";"7";"7";"1";"7";"-99";"-99";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.120 Safari/537.36";"-99";"0";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-66";"3878430,3878432,3878435,3878436,3878437,3878438,3878439,3878440";"1";"0";"0";"-77";"-77";"c91d43d26a3bd565a11fdaff09f54b80";"1";"0";"1571833354";"2019-10-23 12:22:34";"2019-10-23 12:28:02";"0000-00-00 00:00:00"
